game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746098,1,Will Brennan,hit_into_play,Will Brennan flies out to left fielder Andy Pages.,field_out,field_out
746099,72,Andres Gimenez,hit_into_play,Andrés Giménez singles on a ground ball to center fielder Tommy Edman.,single,single
746099,70,Austin Hedges,hit_into_play,Austin Hedges flies out to left fielder Andy Pages.,field_out,field_out
746099,65,Lane Thomas,foul,Lane Thomas flies out to right fielder Mookie Betts.,,field_out
746099,60,Kyle Manzardo,hit_into_play,Kyle Manzardo flies out to left fielder Andy Pages.,field_out,field_out
746099,59,Josh Naylor,foul,"Josh Naylor grounds out, first baseman Freddie Freeman to pitcher Michael Kopech.   Andrés Giménez to 3rd.",,field_out
746099,57,Andres Gimenez,foul,Andrés Giménez singles on a line drive to left fielder Andy Pages.,,single
746099,52,Austin Hedges,foul,Austin Hedges strikes out swinging.,,strikeout
746099,45,Daniel Schneemann,foul,Daniel Schneemann strikes out swinging.,,strikeout
746099,33,Lane Thomas,hit_into_play,Lane Thomas lines out to right fielder Mookie Betts.,field_out,field_out
746099,16,Daniel Schneemann,hit_into_play,Daniel Schneemann pops out to shortstop Miguel Rojas.,field_out,field_out
746099,4,Josh Naylor,hit_into_play,Josh Naylor lines out to center fielder Tommy Edman.,field_out,field_out
746104,64,Kyle Manzardo,foul,Kyle Manzardo strikes out swinging.,,strikeout
746104,55,Andres Gimenez,foul_tip,"Andrés Giménez grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.   Steven Kwan to 2nd.",,field_out
746104,47,Jhonkensy Noel,swinging_strike,"Jhonkensy Noel grounds out, third baseman Enrique Hernández to first baseman Freddie Freeman.",,field_out
746104,39,Josh Naylor,swinging_strike,Josh Naylor flies out to left fielder Chris Taylor.,,field_out
746104,37,Andres Gimenez,hit_into_play,Andrés Giménez homers (8) on a fly ball to right field.    Brayan Rocchio scores.,home_run,home_run
746104,35,Bryan Rocchio,hit_into_play,Brayan Rocchio singles on a sharp ground ball to right fielder Mookie Betts.,single,single
746104,31,Bo Naylor,foul,Bo Naylor flies out to center fielder Tommy Edman.,,field_out
